Time;[0.0];[0.1];[1:0];[1:1];[1:2];[1:3];[1:4];[1:5];[1:6];[1:7];[1:8];[1:9];[1:10];[1:11];[1:15];[2:0];[2:1];[2:2];[2:3];[2:4];[2:5];[2:6];[2:7];[2:8];[2:13];[2:14];[2:15]
time;0.0;0.1;F3.6;F3.5;F3.4;F3.3;F3.2;F3.1;Mo;Mm;Mu;P1;P2;P3;Drehzahl;F Antrieb;F Abtrieb;FS Antrieb;FS Abtrieb;Mo;Mu;P1;P2;P3;Geschwindigkeit;Strom;Walzspalt
sec;;;kN;kN;kN;kN;kN;kN;kNm;kNm;kNm;°C;°C;°C;u/min;kN;kN;kN;kN;kNm;kNm;°C;°C;°C;m/s;A;mm

LicenseId;V77468_1
LicenseContainer;130-1791363898 (DAQ-001391)
LicenseCustomer;TU Bergakademie Freiberg

0.56;0;1;-0.146667;-1.24506;-0.332458;0.0262451;-0.0302429;-0.115463;0.0597153;0.10611;0.0679932;670.01;599.991;669.99;98.9425;-0.0305176;-0.0305176;-0.0228882;0.00762939;0.00069809;-0.000671387;670.01;669.99;599.995;-0.00161743;-0.0679626;46.6697
0.57;0;1;-0.493286;-1.4325;-0.264282;0.0262451;-0.0181274;-0.110092;0.0520725;0.0399742;0.00244522;669.99;599.991;670.01;99.0585;0.0305176;0.0915527;-0.00762939;-0.00762939;0.00209427;-0.00201035;670.029;670.01;600.005;-0.00167847;-0.0926819;46.6514
0.58;0;1;-0.41333;-1.27185;-0.247192;0.0612183;-0.0423279;-0.09935;0.046339;0.0893288;0.0787544;670.01;599.991;669.99;98.9914;0.0305176;-0.0305176;-0.00762939;-0.00762939;-0.00209427;-0.000671387;670.029;670.01;600.005;-0.0015564;-0.0185242;46.6606
0.59;0;1;-0.599976;-1.32538;-0.161987;0.0437622;-0.0785828;-0.115463;-0.0558949;0.0705757;0.00733566;669.971;599.991;669.99;98.9425;-0.0305176;0.0305176;0.00762939;-0.00762939;0.00209427;-0.000671387;670.01;669.99;599.995;-0.0015564;0.228668;46.6514
0.6;0;1;-0.519958;-1.13794;-0.144897;-0.0612793;-0.0664978;-0.104721;-0.0272312;0.0666275;0.0572319;670.01;599.991;670.01;98.9486;-0.0915527;0.0305176;-0.0228882;0.00762939;0.00209427;-0.000671387;670.029;669.99;599.995;-0.00161743;0.216309;46.6697
0.61;0;1;-0.573303;-1.05762;-0.161987;-0.166321;-0.0785828;-0.104721;-0.0367851;0.0320778;0.00342178;669.99;599.991;669.99;99.0585;-0.0305176;0.0305176;-0.00762939;-0.00762939;0.00069809;-0.000671387;670.029;670.029;600.014;-0.0015564;-0.16684;46.6606
0.62;0;1;-0.439941;-0.736328;-0.144897;-0.288879;-0.102783;-0.0778656;0.14093;0.00937653;0.0474472;669.99;599.991;669.99;98.9425;-0.0305176;-0.0305176;-0.00762939;0.00762939;0.00209427;-0.00201035;670.029;669.99;600.005;-0.00161743;0.105072;46.6514
0.63;0;1;-0.333313;-0.763123;-0.179016;-0.376404;-0.0906982;-0.0939789;0.0377388;0.093277;-0.0190773;669.99;599.973;669.971;99.0463;-0.0305176;-0.0305176;-0.0228882;0.00762939;0.00069809;-0.000671387;670.029;669.971;600.005;-0.00161743;-0.0432434;46.6606
0.64;0;1;-0.0933228;-0.441833;-0.179016;-0.516479;-0.0423279;-0.104721;-0.0224533;0.203831;0.0259247;670.01;600.027;670.01;99.0158;-0.0305176;0.0305176;-0.00762939;0.00762939;0.00069809;-0.000671387;670.048;669.99;600.005;-0.0015564;-0.00616455;46.6606
0.65;0;1;-0.146667;-0.495361;-0.247192;-0.726501;-0.0785828;-0.110092;-0.0434742;0.0508347;-0.0220146;669.99;599.991;669.99;98.9425;0.0305176;-0.0305176;-0.00762939;0.00762939;0.00069809;-0.000671387;670.048;669.99;600.005;-0.0015564;-0.0185242;46.6514
