Time;[0.0];[0.1];[1:0];[1:1];[1:2];[1:3];[1:4];[1:5];[1:6];[1:7];[1:8];[1:9];[1:10];[1:11];[1:15];[2:0];[2:1];[2:2];[2:3];[2:4];[2:5];[2:6];[2:7];[2:8];[2:13];[2:14];[2:15]
time;0.0;0.1;F3.6;F3.5;F3.4;F3.3;F3.2;F3.1;Mo;Mm;Mu;P1;P2;P3;Drehzahl;F Antrieb;F Abtrieb;FS Antrieb;FS Abtrieb;Mo;Mu;P1;P2;P3;Geschwindigkeit;Strom;Walzspalt
sec;;;kN;kN;kN;kN;kN;kN;kNm;kNm;kNm;°C;°C;°C;u/min;kN;kN;kN;kN;kNm;kNm;°C;°C;°C;m/s;A;mm

LicenseId;V77468_1
LicenseContainer;130-1791363898 (DAQ-001391)
LicenseCustomer;TU Bergakademie Freiberg

0.29;0;1;-1.89355;0.626648;0.451843;0.866516;0.121368;-0.0832367;-0.16004;-0.0172768;0.010273;669.99;599.973;670.01;99.7482;0.274658;-1.86157;240.795;-282.284;-0.0163269;0.133408;670.029;669.99;670.01;-0.0015564;0.203949;46.6606
0.3;0;1;-1.84058;0.599976;0.383667;0.743958;0.072998;-0.0724945;-0.246031;0.00542831;-0.0151634;669.99;600.009;669.99;99.8154;0.274658;-1.80054;241.314;-281.827;-0.0163269;0.133408;670.01;669.971;669.99;-0.0017395;-0.055603;46.6606
0.31;0;1;-1.92004;0.626648;0.485962;0.603943;0.072998;-0.0671234;-0.266096;-0.0271454;0.0092926;669.99;599.991;669.99;99.8154;0.335693;-1.86157;240.795;-282.269;-0.0150223;0.133408;670.01;670.01;670.01;-0.00161743;-0.228638;46.6514
0.32;0;1;-1.84058;0.65332;0.520081;0.481384;0.072998;-0.0617523;-0.208769;-0.0518227;-0.0151634;669.99;600.009;669.99;99.8154;0.274658;-1.80054;241.253;-281.827;-0.0150223;0.134789;670.048;669.99;669.99;-0.0017395;0.203949;46.6514
0.33;0;1;-1.86707;0.706665;0.520081;0.34137;0.0366821;-0.0510101;-0.184883;-0.039978;-0.00440216;669.971;599.973;669.971;99.8093;0.396729;-1.7395;240.81;-282.284;-0.0111046;0.134789;670.029;670.01;669.99;-0.00167847;-0.117401;46.6606
0.34;0;1;-1.76117;0.65332;0.707642;0.201294;0.0366821;-0.0671234;-0.215456;-0.00938034;-0.0229912;669.99;599.991;669.99;99.9252;0.274658;-1.67847;241.268;-281.827;-0.0137138;0.134789;670.01;670.01;670.01;-0.0017395;-0.0926819;46.6514
0.35;0;1;-1.70819;0.759949;0.775818;0.0437622;0.0487976;-0.09935;-0.257498;0.0222092;-0.0347328;669.99;599.973;669.99;99.9191;0.335693;-1.86157;240.81;-282.269;-0.0176353;0.133408;670.029;669.99;670.01;-0.00161743;-0.0432434;46.6606
0.36;0;1;-1.60223;0.733276;0.895203;-0.0437622;0.0366821;-0.0939789;-0.221189;-0.0370178;-0.0337524;670.01;599.991;670.01;99.9252;0.274658;-1.80054;241.253;-281.811;-0.0150223;0.133408;670.029;669.99;669.99;-0.00161743;0.117432;46.6514
0.37;0;1;-1.54926;0.893311;1.13391;-0.113831;0.0245972;-0.0939789;-0.123734;-0.0922928;-0.0376663;669.99;599.973;669.99;99.9191;0.213623;-1.7395;240.826;-282.284;-0.0163269;0.134789;670.01;669.99;670.01;-0.0015564;-0.0432434;46.6697
0.38;0;1;-1.41687;0.866638;1.23621;-0.183838;0.0125122;-0.115463;-0.110357;-0.021225;-0.0249481;669.971;599.991;670.01;99.9741;0.213623;-1.67847;241.268;-281.811;-0.0137138;0.134789;670.01;669.99;669.99;-0.00167847;-0.0926819;46.6514
